name,time,delta_volume,total_accumulated_volume,total_pulse_count
water_meter,1620830088463129634,0,0,3018429
water_meter,1620830388563460885,0,0,3018429
water_meter,1620830688675720355,0,0,3018429
water_meter,1620830988822065847,0,0,3018429
water_meter,1620831288954372962,0,0,3018429
water_meter,1620831589061481472,0,0,3018429
water_meter,1620831889195860518,0,0,3018429
water_meter,1620832189322285035,0,0,3018429
water_meter,1620832489431520947,0,0,3018429
water_meter,1620832789473567212,0,0,3018429
water_meter,1620833089561065081,0,0,3018429
water_meter,1620833389601390594,0,0,3018429
water_meter,1620833689664684839,0,0,3018429
water_meter,1620833989782069220,0,0,3018429
water_meter,1620834289812673166,0,0,3018429
water_meter,1620834890562048730,0,0,3018429
water_meter,1620835190693314816,0,0,3018429
water_meter,1620835490791525383,0,0,3018429
water_meter,1620835790924756797,0,0,3018429
water_meter,1620836091021252912,0,0,3018429
water_meter,1620836391144232863,0,0,3018429
water_meter,1620836691271782381,0,0,3018429
water_meter,1620836991400192940,0,0,3018429
water_meter,1620837291533730110,0,0,3018429
water_meter,1620837591590795556,0,0,3018429
water_meter,1620837891634169659,0,0,3018429
water_meter,1620838191670671323,0,0,3018429
water_meter,1620838491783331168,0,0,3018429
water_meter,1620838791822835538,0,0,3018429
water_meter,1620839091942941225,0,0,3018429
water_meter,1620839392061262206,0,0,3018429
water_meter,1620839692191177814,0,0,3018429
water_meter,1620839992311594939,0,0,3018429
water_meter,1620840292341446590,0,0,3018429
water_meter,1620840592481978760,0,0,3018429
water_meter,1620840892577202266,0,0,3018429
water_meter,1620841192631622953,0,0,3018429
water_meter,1620841492760530152,0,0,3018429
water_meter,1620841792811494345,0,0,3018429
water_meter,1620842092843505002,0,0,3018429
water_meter,1620842392972104319,0,0,3018429
water_meter,1620842693064041573,0,0,3018429
water_meter,1620842993181339019,0,0,3018429
water_meter,1620843293302107467,0,0,3018429
water_meter,1620843593371264486,0,0,3018429
water_meter,1620843893502861877,0,0,3018429
water_meter,1620844193561896574,0,0,3018429
water_meter,1620844493614533437,0,0,3018429
water_meter,1620844793742817645,0,0,3018429
water_meter,1620845093813256896,0,0,3018429
water_meter,1620845393896674918,0,0,3018429
water_meter,1620845694032039927,0,0,3018429
water_meter,1620845994082886591,0,0,3018429
water_meter,1620846294203417198,0,0,3018429
water_meter,1620846594316640078,0,0,3018429
water_meter,1620846894363616526,0,0,3018429
water_meter,1620847194472144682,0,0,3018429
water_meter,1620847494540832144,0,0,3018429
water_meter,1620847794634045296,0,0,3018429
water_meter,1620848094725762295,0,0,3018429
water_meter,1620848394858251642,0,0,3018429
water_meter,1620848694964139299,0,0,3018429
water_meter,1620848995070520742,0,0,3018429
water_meter,1620849295185322525,0,0,3018429
water_meter,1620849595219214974,0,0,3018429
water_meter,1620849895323405697,0,0,3018429
water_meter,1620850195457897126,0,0,3018429
water_meter,1620850495482464577,0,0,3018429
water_meter,1620850795561802999,0,0,3018429
water_meter,1620851095706283413,0,0,3018429
water_meter,1620851395814612309,0,0,3018429
water_meter,1620851695908749708,0,0,3018429
water_meter,1620851996025604227,0,0,3018429
water_meter,1620852296065825045,0,0,3018429
water_meter,1620852596102658783,0,0,3018429
water_meter,1620852896233628793,0,0,3018429
water_meter,1620853196322046826,0,0,3018429
water_meter,1620853496452319599,0,0,3018429
water_meter,1620853796562007425,0,0,3018429
